Date,Views,Average percentage viewed (%),Unique viewers,Subscribers,Watch time (hours),Average view duration,Shares,Likes,Dislikes,Comments added,Impressions,Impressions click-through rate (%)
1/27/22,588,17.15,453,6,31.237,0:03:11,2,10,0,1,3885,5.82
1/28/22,473,15.11,363,3,20.9507,0:02:39,2,8,0,1,3614,6
1/29/22,397,18.78,326,1,23.2787,0:03:31,1,4,0,0,3654,4.49
1/30/22,491,18.03,383,5,27.1349,0:03:18,5,8,0,0,3412,5.83
1/31/22,552,19.78,454,1,32.9713,0:03:35,1,8,0,0,3330,6.52
2/1/22,571,16.45,457,2,27.3072,0:02:52,1,7,0,0,3217,7.55
2/2/22,550,16.86,453,0,27.7025,0:03:01,1,11,1,1,3631,6.36
2/3/22,545,18.1,432,-1,30.0145,0:03:18,5,14,0,1,3525,6.52
2/4/22,504,17.06,385,1,26.4124,0:03:08,0,7,0,0,2989,6.49
2/5/22,476,21.26,387,2,30.1486,0:03:48,3,6,3,0,2967,6.2
2/6/22,579,20.1,458,2,34.2545,0:03:32,8,5,0,1,3631,6.36
2/7/22,605,17.73,500,3,33.9632,0:03:22,3,9,1,0,4378,5.96
2/8/22,602,18.66,475,1,34.2097,0:03:24,6,6,0,0,3572,6.19
2/9/22,535,16.27,422,1,26.5251,0:02:58,2,9,0,0,3454,6.4
2/10/22,586,17.67,0,4,31.719,0:03:14,4,8,0,,3991,6.14
