Date,Views,Average percentage viewed (%),Unique viewers,Subscribers,Watch time (hours),Average view duration,Shares,Likes,Dislikes,Comments added,Impressions,Impressions click-through rate (%),Day of Week
2/11/21,354,18.49,280,2,18.96,192,1,4,0,0.0,2295,7.15,Thursday
2/12/21,272,19.3,220,2,15.2881,202,1,3,0,0.0,2062,6.11,Friday
2/13/21,249,17.93,214,1,13.0429,188,0,2,0,0.0,1806,5.54,Saturday
2/14/21,264,18.26,209,-1,13.9876,190,3,4,0,0.0,2128,6.63,Sunday
2/15/21,378,19.68,300,2,21.638,206,1,3,0,1.0,2321,6.72,Monday
2/16/21,314,18.79,269,2,17.0367,195,1,4,0,0.0,2395,6.35,Tuesday
2/17/21,361,18.67,293,4,19.4318,193,1,8,0,0.0,2594,6.71,Wednesday
2/18/21,346,20.52,281,3,20.9314,217,3,11,0,0.0,2664,6.53,Thursday
2/19/21,359,19.04,279,3,20.1113,201,1,2,0,0.0,2292,7.5,Friday
2/20/21,272,20.25,225,0,15.9686,211,3,8,1,2.0,2282,5.43,Saturday
2/21/21,311,20.3,251,3,18.6988,216,2,5,0,0.0,2719,5.96,Sunday
2/22/21,351,19.31,281,4,20.505,210,2,10,1,1.0,2812,6.12,Monday
2/23/21,379,21.04,310,2,22.82,216,4,5,0,2.0,2523,7.77,Tuesday
2/24/21,423,21.47,333,4,25.6972,218,6,10,2,0.0,2691,7.73,Wednesday
2/25/21,342,19.53,296,2,19.282,202,10,3,2,0.0,2757,6.46,Thursday
2/26/21,308,21.15,245,3,19.2292,224,1,7,0,0.0,2389,6.53,Friday
2/27/21,301,20.89,243,0,19.1425,228,8,3,0,0.0,2219,7.35,Saturday
2/28/21,332,15.42,261,1,14.9402,162,0,5,0,1.0,2533,6.2,Sunday
3/1/21,399,20.37,322,4,22.9764,207,1,4,0,0.0,2701,7.07,Monday
3/2/21,408,19.61,341,6,24.7469,218,2,2,0,2.0,2633,7.18,Tuesday
3/3/21,381,17.36,311,1,19.5204,184,2,6,0,0.0,2705,6.73,Wednesday
3/4/21,384,20.47,300,6,23.2694,218,1,9,2,1.0,2725,6.2,Thursday
3/5/21,337,19.31,264,3,18.0531,192,4,4,0,0.0,2574,7.11,Friday
3/6/21,305,18.36,250,2,17.237,203,0,5,0,0.0,2310,7.23,Saturday
3/7/21,336,18.59,265,0,18.79,201,1,7,1,0.0,2636,6.68,Sunday
